District_A;District_B
AVEIRO          ;Aveiro          
BEJA            ;Beja            
BRAGA           ;Braga           
BRAGANCA        ;Bragança        
CASTELO BRANCO  ;Castelo Branco  
COIMBRA         ;Coimbra         
EVORA           ;Évora           
FARO            ;Faro            
GUARDA          ;Guarda          
LEIRIA          ;Leiria          
LISBOA          ;Lisboa          
PORTALEGRE      ;Portalegre      
PORTO           ;Porto           
SANTAREM        ;Santarém        
SETUBAL         ;Setúbal         
VIANA DO CASTELO;Viana do Castelo
VILA REAL       ;Vila Real       
VISEU           ;Viseu           
